league,info,,,,
BRA CGD1RP,no,,,,
BRA CGD ,no,,,,
BRA CM,no,,,,
BRA CNF,no,,,,
BRA CP ,no,,,,
BRA CPY,no,,,,
BRA CPoff,no,,,,
BRA CT ,no,,,,
BRA CV ,no,,,,
BRA D1 ,bra_serie-a,,,,
BRA D2,no,,,,
BRA D3,no,,,,
BRA D3A,no,,,,
BRA D3B,no,,,,
BRA D4 ,no,,,,
BRA DF ,no,,,,
BRA GW  ,no,,,,
BRA LNA ,no,,,,
BRA LNA(a),no,,,,
BRA LNAAF,no,,,,
BRA LNAFC ,no,,,,
BRA LNAa ,no,,,,
BRA LNAoff ,no,,,,
BRA LP,no,,,,
BRA MG   ,no,,,,
BRA MGCS ,no,,,,
BRA MGR ,no,,,,
BRA MGY,no,,,,
BRA MT,no,,,,
BRA PA  ,no,,,,
BRA PB2,no,,,,
BRA PB ,no,,,,
BRA PE2,no,,,,
BRA PE   ,no,,,,
BRA PR2 ,no,,,,
BRA PW ,no,,,,
BRA RC,no,,,,
BRA RJ ,no,,,,
BRA RJ A2,no,,,,
BRA RJC,no,,,,
BRA RJOFF ,no,,,,
BRA RJTG,no,,,,
BRA RJW,no,,,,
BRA RO,no,,,,
BRA RR ,no,,,,
BRA SE,no,,,,
BRA SM  ,no,,,,
BRA SP  ,no,,,,
BRA SPB ,no,,,,
BRA SPC,no,,,,
BRA SPC2,no,,,,
BRA SPWL,no,,,,
BRA U19,no,,,,
BRA WC U20  ,no,,,,
BRA WD1,no,,,,
BRA YCup,no,,,,
BRB MG   ,no,,,,
BRCP 2,no,,,,
BRL ,no,,,,
BRP PS D2  ,no,,,,
BSA D,no,,,,
BSAC,no,,,,
BSC   ,no,,,,
BSC CUP,no,,,,
BSL,no,,,,
BSW C    ,no,,,,
BSWC ,no,,,,
BSWCP ,no,,,,
BUL Cup,no,,,,
BUL D1 ,bul_parva-liga,,,,
BUL D1CG,bul_parva-liga_championship,,,,
BUL D1R ,bul_parva-liga_relegation,,,,
BUL D1off ,bul_parva-liga_conference-league,,,,
BUL D2,no,,,,
BUL PLW ,no,,,,
BWPL,no,,,,
Baltic Cup ,no,,,,
Barbados P L,no,,,,
Beg B,no,,,,
Bos HD1,no,,,,
Bra CUU20,no,,,,
Bra PL,no,,,,
Bra Pia ,no,,,,
Bra YL  ,no,,,,
Brazil CFL,no,,,,
Brazil CUP,no,,,,
Brazil DDL,no,,,,
Brazil L,no,,,,
Brazil SUP,no,,,,
Brazil W L,no,,,,
Brazil W L2 ,no,,,,
Brazil W L3,no,,,,
Bulg SC ,no,,,,
Burundi Cup ,no,,,,
CAE CUP ,no,,,,
CAE D1,no,,,,
CAE D2,no,,,,
CAE LW   ,no,,,,
CAE WSC,no,,,,
CAF CL,no,,,,
CAF Cup,no,,,,
CAF NC ,afr_nations-cup,,,,
CAF SC,no,,,,
CAF WC,no,,,,
CAF WNC,no,,,,
CAFA U-20,no,,,,
CAN CHL  ,can_champ,,,,
CAN CSL ,no,,,,
CAN W-U17,no,,,,
CAN W-U20,no,,,,
CB-CUP,no,,,,
CECAFA CC ,no,,,,
CFC   ,no,,,,
CFL,no,,,,
CFU CC,no,,,,
CHA CSL ,chn_super-league,,,,
CHA CSL U21,no,,,,
CHA CSL U21off,no,,,,
CHA D1,no,,,,
CHA D2N    ,no,,,,
CHA D2R,no,,,,
CHA D2RP,no,,,,
CHA D2S  ,no,,,,
CHA D2off,no,,,,
CHI D1,chi_primera-division,,,,
CHI D2,no,,,,
CHI D2Off,no,,,,
CHI D2PSF,no,,,,
CHI D2off,no,,,,
CHI D3,no,,,,
CHI T ,no,,,,
CHI U21,no,,,,
CHI WD1,no,,,,
CHN CH,no,,,,
CHN WC ,no,,,,
CLW   ,no,,,,
CNCF CACup ,no,,,,
CNCF CHL ,concacaf_champions-league,,,,
CNCF GWC,no,,,,
CNCF U17,no,,,,
CNCF U20Q,no,,,,
CNCF W U17 ,no,,,,
CNCF WCC,no,,,,
CNCF WU20,no,,,,
COL Cup,no,,,,
COL D1(a),no,,,,
COL D1A,no,,,,
COL D1AF,no,,,,
COL D1B ,no,,,,
COL D1FC,no,,,,
COL D1a,no,,,,
COL D2(a),no,,,,
COL D2A,no,,,,
COL D2AF ,no,,,,
COL D2B,no,,,,
COL D2FC,no,,,,
COL D2Off A,no,,,,
COL D2Off B ,no,,,,
COL D2a ,no,,,,
COL D2off,no,,,,
COL RL,no,,,,
COL U19,no,,,,
COL U20,no,,,,
CON CLA ,sa_copa-libertadores,,,,
CON CSA ,copa-sudamericana,,,,
CON WU17 ,no,,,,
CON WU20,no,,,,
CONCACAF CS ,no,,,,
CONCACAF NL ,concacaf_nations,,,,
CONMEBOL QF,no,,,,
COSAFA CLW,no,,,,
COSAFA Cup ,no,,,,
COTIF ,no,,,,
CP2,no,,,,
CPL,no,,,,
CPLCA,no,,,,
CPLCG     ,no,,,,
CPLoff,no,,,,
CRC C,no,,,,
CRC D1,no,,,,
CRC D1(a),no,,,,
CRC D1AF ,no,,,,
CRC D1a  ,no,,,,
CRC D1asf,no,,,,
CRC D2,no,,,,
CRC DW1,no,,,,
CRC U19,no,,,,
CRO Cup,no,,,,
CRO D1  ,cro_1-hnl,,,,
CRO D2,no,,,,
CRO D3,no,,,,
CRO FLW,no,,,,
CRO R Cup,no,,,,
CRS CUP ,no,,,,
CRSK U19 Cup ,no,,,,
CRYL ,no,,,,
CS Cup ,no,,,,
CSP YC  ,no,,,,
CSU20,no,,,,
CWFL,no,,,,
CWPL,no,,,,
CYP Cup,no,,,,
CYP D1 ,cyp_first-division,,,,
CYP D1CG,cyp_first-division_championship,,,,
CYP D1RF ,cyp_first-division_relegation,,,,
CYP D2,no,,,,
CYP D2DA ,no,,,,
CYP D2PPO,no,,,,
CYP D2RF ,no,,,,
CYP D2off,no,,,,
CYP D3 ,no,,,,
CYP WD1 ,no,,,,
CZE CFLA,no,,,,
CZE CFLB,no,,,,
CZE CFLM,no,,,,
CZE CFLoff,no,,,,
CZE D1,cze_1-fotbalova-liga,,,,
CZE D1CG,cze_1-fotbalova-liga_meisterschaft,,,,
CZE D1R  ,cze_1-fotbalova-liga_abstieg,,,,
CZE D1RF ,cze_first-league_qualification,,,,
CZE D1off ,cze_1-fotbalova-liga_platzierung,,,,
CZE D2,no,,,,
CZE DFL,no,,,,
CZE DFL 5,no,,,,
CZE U19,no,,,,
CZE W1,no,,,,
CZE W1CG ,no,,,,
CZEC,no,,,,
Can PL,can_premier-league,,,,
Catalonia C,cat_cup,,,,
Chile Cup,no,,,,
China U19  ,no,,,,
Chinese T L ,no,,,,
Chinese TML,no,,,,
Columbia W L ,no,,,,
Copa,no,,,,
Copa do Brasil,no,,,,
Cos Cup ,no,,,,
Costa R U21,no,,,,
Croatia U19 L,no,,,,
Croatia W ,no,,,,
Cuban C,no,,,,
Cuban WC,no,,,,
Cyprus C W  ,no,,,,
Czech 2W,no,,,,
D.C ,no,,,,
DAN Cup,no,,,,
DAN U17,no,,,,
DAN U19,no,,,,
DEN D1,no,,,,
DEN D1R   ,no,,,,
DEN D1RP,no,,,,
DEN D1off,no,,,,
DEN D2  ,no,,,,
DEN D2A,no,,,,
DEN D2PPO ,no,,,,
DEN D2RF ,no,,,,
DEN D3,no,,,,
DEN D3PPO  ,no,,,,
DEN D3RF  ,no,,,,
DEN D4,no,,,,
DEN RL,no,,,,
DEN SASL,den_superliga,,,,
DEN SASLCG ,den_superligaen_championship,,,,
DEN SASLRP,den_superligaen_relegation,,,,
DEN U21,no,,,,
DEN WD,no,,,,
DEN WD1,no,,,,
DEN WD1CG ,no,,,,
DEN WD1R  ,no,,,,
DEN WD1RP,no,,,,
DEN WD2,no,,,,
DEN WDoff,no,,,,
DJI PL,no,,,,
DOM D1,no,,,,
DRC,no,,,,
DWLWC,no,,,,
EASTC,no,,,,
ECU CUP ,no,,,,
ECU D1,no,,,,
ECU D1(a),no,,,,
ECU D1a,no,,,,
ECU D2,no,,,,
ECUW D1,no,,,,
EFFC  ,no,,,,
EGY D1,no,,,,
EGY D2,no,,,,
EGY LC ,no,,,,
EGY SC ,no,,,,
EGY WD1 ,no,,,,
EGYCup,no,,,,
