league,info,,,,
LAT D1  ,lat_virsliga,,,,
LAT D1Off ,lat_playoff,,,,
LAT D2,no,,,,
LAT L2,no,,,,
LAT L3 ,no,,,,
LB SD,no,,,,
LBN D1,no,,,,
LBN D1CG ,no,,,,
LBN D1RF   ,no,,,,
LBN D2,no,,,,
LBN U20,no,,,,
LCC   ,no,,,,
LCE D3 ,no,,,,
LCE D4 ,no,,,,
LFA,no,,,,
LIB ,no,,,,
LIB CF,no,,,,
LIBC U20 ,no,,,,
LIBD1L,no,,,,
LIBD1LA ,no,,,,
LIBD1LB,no,,,,
LIBD1LC,no,,,,
LIBD1LCG ,no,,,,
LIBD1LD,no,,,,
LIFA C,no,,,,
LIT ALW ,no,,,,
LIT Cup  ,no,,,,
LIT D1 ,ltu_a-lyga,,,,
LIT D2,no,,,,
LIT D2DA   ,no,,,,
LIT D2PPO  ,no,,,,
LIT U19,no,,,,
LIV WL,no,,,,
LLW  ,no,,,,
LNLW  ,no,,,,
LUX Cup,no,,,,
LUX D1 ,lux_nationaldivision,,,,
LUX D1off ,lux_national_qualif,,,,
LUX D2,no,,,,
Leinster S C   ,no,,,,
Lit II Lyga,no,,,,
MAC D1  ,no,,,,
MAC D1CG ,no,,,,
MAC D1R    ,no,,,,
MAC FA CUP,no,,,,
MAC L W,no,,,,
MAL Cup,no,,,,
MAL D1   ,mlt_premier-league_closing-top-6,,,,
MAL D2,no,,,,
MAL D2CG  ,no,,,,
MAL D2Off    ,no,,,,
MAL D2RF ,no,,,,
MAL SC   ,no,,,,
MALAC,no,,,,
MAR D1,no,,,,
MAR D2,no,,,,
MAS CGC,no,,,,
MAS FAC,no,,,,
MAS FAM ,no,,,,
MAS L3,no,,,,
MAS PDC,no,,,,
MAS SL,no,,,,
MAS UL,no,,,,
MATCH L ,no,,,,
MAU D1,no,,,,
MAU D2 ,no,,,,
MCC  ,no,,,,
MD WC   ,no,,,,
MDV G Cup,no,,,,
MEC,no,,,,
MEX CC ,no,,,,
MEX D1(a),no,,,,
MEX D1AF ,no,,,,
MEX D1AP ,no,,,,
MEX D1a ,mex_primera-division-clausura,,,,
MEX D1off,no,,,,
MEX D2,no,,,,
MEX D2(a),no,,,,
MEX D2AF ,no,,,,
MEX D2FC ,no,,,,
MEX D2QF ,no,,,,
MEX D2a ,no,,,,
MEX D2ar,no,,,,
MEX D2cr,no,,,,
MEX D2off,no,,,,
MEX D3,no,,,,
MEX LT,no,,,,
MEX U19,no,,,,
MEX U19 W,no,,,,
MEX U23,no,,,,
MEX U23AF,no,,,,
MEX U23a,no,,,,
MFL C,no,,,,
MGL Cup ,no,,,,
MGL PL,no,,,,
MGL PLOff,no,,,,
MKD CUP,no,,,,
MKD D1   ,mkd_1-mfl,,,,
MKD D2   ,no,,,,
MLS ,usa_major-league-soccer,,,,
MLS Next PL,no,,,,
MLW,no,,,,
MML W ,no,,,,
MNE CUP ,no,,,,
MNE D1,mne_1-cfl,,,,
MNE D2,no,,,,
MNE U19  ,no,,,,
MNE WL,no,,,,
MNE YL  ,no,,,,
MOL Cup ,no,,,,
MOL D1  ,mda_divizia-nationala,,,,
MOL D1CG ,mda_divizia-nationala_phase-ii,,,,
MOL D2A,no,,,,
MOL D2B,no,,,,
MOL D2PR ,mda_relegation,,,,
MOL D2RA,no,,,,
MOLE Cup ,no,,,,
MON FL,no,,,,
MON NLW,no,,,,
MOZ C,no,,,,
MOZ CUP ,no,,,,
MPRE CC ,no,,,,
MPRE Cup ,no,,,,
MPRE L,no,,,,
MSG PM Cup,no,,,,
MTN8 ,no,,,,
MYA Cup  ,no,,,,
MYA D1,no,,,,
MYA D2 ,no,,,,
Macedonia C W,no,,,,
Mal PD,no,,,,
Mal WD1,no,,,,
Mal WD1CG,no,,,,
Mal WL ,no,,,,
Maldives P L,no,,,,
Mali C ,no,,,,
Mauritania Cup,no,,,,
Mex MFW,no,,,,
Mex MFW(a),no,,,,
Mex MFWAP,no,,,,
Mex MFWPSF ,no,,,,
Mex MFWa,no,,,,
Mex MFWoff,no,,,,
Moldova W C ,no,,,,
Mya U20L,no,,,,
N AFR U17,no,,,,
N AFR YC,no,,,,
NAM Cup,no,,,,
NAM PL,no,,,,
NAM PL W,no,,,,
NCAL Cup,concacaf_leagues,,,,
NED U21 Cup,no,,,,
NGA NL,no,,,,
NGA PL ,no,,,,
NGA PR,no,,,,
NGA WL ,no,,,,
NIC CUP ,no,,,,
NIC D1(a),no,,,,
NIC D1AF,no,,,,
NIC D1FC ,no,,,,
NIC D1RF,no,,,,
NIC D1a  ,no,,,,
NIC D1asf ,no,,,,
NIC D1off,no,,,,
NIC L,no,,,,
NIR CH,no,,,,
NIR CHPPO ,no,,,,
NIR CHRF,no,,,,
NIR CUP ,no,,,,
NIR CUP(W) ,no,,,,
NIR D1 ,nir_premier-league,,,,
NIR D1CA,nir_premier-league_championship,,,,
NIR D1RF,nir_premier-league_relegation,,,,
NIR D1off     ,no,,,,
NIR D3,no,,,,
NIR LC,no,,,,
NIR Rl,no,,,,
NIR SHCUP,no,,,,
NIR WD1,no,,,,
NIRI CUP,no,,,,
NLD D4,no,,,,
NLMS-W,no,,,,
NM U19,no,,,,
NOR AL,no,,,,
NOR D1,nor_eliteserien,,,,
NOR D1 W,no,,,,
NOR D1 W   ,no,,,,
NOR D1 WR,no,,,,
NOR D1 Woff,no,,,,
NOR D2A,no,,,,
NOR D2B,no,,,,
NOR D2PPO   ,no,,,,
NOR D4,no,,,,
NOR D4A,no,,,,
NOR D4B,no,,,,
NOR D4C,no,,,,
NOR D4D,no,,,,
NOR D4E,no,,,,
NOR D4F,no,,,,
NOR NZL ,no,,,,
NOR U19,no,,,,
NOR WCUP ,no,,,,
NORC ,no,,,,
NORW,no,,,,
NORWoff,no,,,,
NPD W  ,no,,,,
NPL U23 A,no,,,,
NSW-N RL ,no,,,,
NSW-N TPL,no,,,,
NWSLCup,no,,,,
NZ WC,no,,,,
NZC ,no,,,,
NZDW,no,,,,
NZFC,no,,,,
Nep NLW,no,,,,
Nepal B,no,,,,
Nepal GC,no,,,,
Nigeria Cup ,no,,,,
Nor YC,no,,,,
OFC U16 ,no,,,,
OFC W U16,no,,,,
OFC W U17,no,,,,
OFCCU19,no,,,,
OMA Cup,no,,,,
OMA D1,no,,,,
OMA FA Cup,no,,,,
OMA PL,no,,,,
OP AFW,no,,,,
OP WOFC ,no,,,,
OPAW ,no,,,,
Oce CL ,no,,,,
Olympic ,no,,,,
Oman Super Cup,no,,,,
PACG  ,no,,,,
PACGW   ,no,,,,
PAGM,no,,,,
PAGW,no,,,,
PALL,no,,,,
PAR Cup,no,,,,
PAR D1(a),no,,,,
PAR D1a ,no,,,,
PAR D2,no,,,,
PAR D3,no,,,,
PAR RT,no,,,,
PAR U19 ,no,,,,
PCNW  ,no,,,,
PER D1 ,no,,,,
PER D1(a),no,,,,
PER D1a,no,,,,
PER D2,no,,,,
PGS C,no,,,,
PH Cup ,no,,,,
PH UFL  ,no,,,,
PLC (W),no,,,,
PLI CUP,no,,,,
POL Cup,no,,,,
POL D1,no,,,,
POL D2,no,,,,
POL D2PPO ,no,,,,
POL D2UF ,no,,,,
POL ME,no,,,,
POL PR ,pol_ekstraklasa,,,,
POL RL,no,,,,
POL WD1,no,,,,
POR CN,no,,,,
POR D1  ,por_primeira-liga,,,,
POR D2,no,,,,
POR D2RF ,no,,,,
POR D2W ,no,,,,
POR D3,no,,,,
POR DW,no,,,,
POR L3,no,,,,
POR L3A,no,,,,
POR L3Playoffs,no,,,,
POR U19 B,no,,,,
POR U19CG,no,,,,
POR U19N,no,,,,
POR U19RFA,no,,,,
POR U19RFB,no,,,,
POR U19S,no,,,,
POR U23 C,no,,,,
PORJA2,no,,,,
PORJA2N,no,,,,
PORJA2S,no,,,,
PORLC,no,,,,
PR CUP,no,,,,
PRL RT,no,,,,
PUR L ,no,,,,
PWL ,no,,,,
Par DInt ,no,,,,
Parag WL,no,,,,
Peru cup,no,,,,
Pol L3,no,,,,
Pol U19   ,no,,,,
PolCW ,no,,,,
Por U23,no,,,,
Por U23A,no,,,,
Por U23B,no,,,,
Por U23CG ,no,,,,
Por U23RF ,no,,,,
Por U23RG,no,,,,
Portugal Cupï¼ˆWï¼‰,no,,,,
Portugal Liga 4,no,,,,
QAT D1,no,,,,
QAT D1RF   ,no,,,,
QAT D2,no,,,,
QAT PC,no,,,,
QAT QC   ,no,,,,
QAT RL,no,,,,
QAT U19,no,,,,
QAT U21 L,no,,,,
QATL CUP,no,,,,
QATL DC,no,,,,
QCP Cup ,no,,,,
QLD D1   ,no,,,,
QLD D2  ,no,,,,
QLD D3 ,no,,,,
R WL ,no,,,,
R WSL,no,,,,
RESU,no,,,,
REWT ,no,,,,
REYT  ,no,,,,
RLW3,no,,,,
ROM CU19,no,,,,
ROM D1   ,rou_liga-1,,,,
ROM D1CG,rou_liga-1_championship,,,,
ROM D1RF  ,rou_liga-1_relegation,,,,
ROM D2,no,,,,
ROM D2PR ,no,,,,
ROM D2RGA   ,no,,,,
ROM D2RGB ,no,,,,
ROM D3,no,,,,
ROM D4,no,,,,
ROM U19,no,,,,
ROMC,no,,,,
RUS Cup,no,,,,
RUS D1,rus_1-division,,,,
RUS D2,no,,,,
RUS D2C,no,,,,
RUS D2PG(S) ,no,,,,
RUS D2S ,no,,,,
RUS D2SB,no,,,,
RUS D2SRR,no,,,,
RUS D2U,no,,,,
RUS D2W,no,,,,
RUS D3A,no,,,,
RUS PR  ,rus_premier-liga,,,,
RUS WC,no,,,,
RUS WPL,no,,,,
RUS WPLCG,no,,,,
RUS WPLR,no,,,,
RUS YthC,no,,,,
RUS YthCA ,no,,,,
RUS YthCB,no,,,,
RUS YthCCG,no,,,,
RUS YthCRP,no,,,,
RWA CP  ,no,,,,
RWA D1,no,,,,
RWA WL,no,,,,
S Q C,no,,,,
S U19 L,no,,,,
SA RL,no,,,,
SA W Cup,no,,,,
SACC,no,,,,
SACU20,no,,,,
SAFL,no,,,,
SAFLoff ,no,,,,
SALC     ,no,,,,
SAN L ,smr_campionato,,,,
SAN Loff     ,smr_playoff,,,,
SAND2 ,no,,,,
SAOQ   ,no,,,,
SAPL CUP,no,,,,
SAPL D1,no,,,,
SAVC,no,,,,
SAWL,no,,,,
SBW ,no,,,,
SCO BC ,no,,,,
SCO CH,sco_championship,,,,
SCO HL,no,,,,
SCO L1  ,sco_league-one,,,,
SCO L2  ,sco_league-two,,,,
SCO LC ,sco_league-cup,,,,
SCO LL  ,no,,,,
SCO LLC ,no,,,,
SCO PR    ,sco_premiership,,,,
SCO PRCG ,sco_premiership_championship,,,,
SCO PRRG    ,sco_premiership_relegation,,,,
SCO RC     ,no,,,,
SCO SRL  ,no,,,,
SCO WD,no,,,,
SCO WPL,no,,,,
SCO WPLCG  ,no,,,,
SCO WPLRF ,no,,,,
SCOFAC ,sco_facup,,,,
SCW,no,,,,
SEN C   ,no,,,,
SEN D1 ,no,,,,
SEN D2  ,no,,,,
SER CUP,no,,,,
SER D1 ,srb_super-liga,,,,
SER D1CG ,srb_super-liga_championship,,,,
SER D1RA,srb_super-liga_relegation,,,,
SER D2,no,,,,
SER D2CG  ,no,,,,
SER D2RF ,no,,,,
SER L W,no,,,,
SER U19,no,,,,
SER WC ,no,,,,
SFC  ,no,,,,
SIL PL ,no,,,,
SIN CUP,no,,,,
SIN D1    ,no,,,,
SJC ,no,,,,
SK CUP,no,,,,
SK RL  ,no,,,,
SKN PL,no,,,,
SLC   ,no,,,,
SLO D1 ,svn_prvaliga,,,,
SLO D2,no,,,,
SLO D3,no,,,,
SLO U19,no,,,,
SLO WL,no,,,,
SLOC,no,,,,
SLV D1,no,,,,
SLV D1(a) ,no,,,,
SLV D1AF ,no,,,,
SLV D1QF,no,,,,
SLV D1a ,no,,,,
SLV D1asf,no,,,,
SLV D1off,no,,,,
SLV D2 ,no,,,,
SLV LFW,no,,,,
SLV Rl,no,,,,
SMA CUP,no,,,,
SML,no,,,,
SNFL  ,no,,,,
SPA CUP,no,,,,
SPA D1,esp_primera-division,,,,
SPA D2,esp_segunda-division,,,,
SPA D2PPO ,esp_segunda-division_playoff,,,,
SPA D3Rf  ,no,,,,
SPA D3UF,no,,,,
SPA D3UF ,no,,,,
SPA D3USF   ,no,,,,
SPA D31,no,,,,
SPA D32,no,,,,
SPA D33,no,,,,
SPA D34,no,,,,
SPA D35,no,,,,
SPA FC,no,,,,
SPA LU19,no,,,,
SPA RC ,no,,,,
SPA RL,no,,,,
SPA SUC  ,no,,,,
SPA WD1,no,,,,
SPA WD2,no,,,,
SPA WD4,no,,,,
SPA WRl  ,no,,,,
SPA YC  ,no,,,,
SPDRFEF,esp_primera-rfef_pro-playoff,,,,
SPDRFEFA ,esp_primera-rfef-grupo-1,,,,
SPDRFEFB ,esp_primera-rfef-grupo-2,,,,
SPL,no,,,,
SRC,no,,,,
SSCW  ,no,,,,
SUD PRA,no,,,,
SUI CL ,sui_challenge-league,,,,
SUI Cup  ,no,,,,
SUI D4,no,,,,
SUI PL1,no,,,,
SUI PL2,no,,,,
SUI PL3,no,,,,
SUI PLPR,sui_promotion-league,,,,
SUI PLPSF ,sui_promotion-league_qualif,,,,
SUI SL  ,sui_super-league,,,,
SUI SLCG,sui_super-league_championship,,,,
SUI SLRA,sui_super-league_relegation,,,,
SVK Cup,no,,,,
SVK D1   ,svk_super-liga,,,,
SVK D1CG ,svk_super-liga_championship,,,,
SVK D1R,svk_super-liga_relegation,,,,
SVK D1RP,svk_super-liga_relegation,,,,
SVK D2,no,,,,
SVK U19 A,no,,,,
SVK U19W ,no,,,,
SVK WC  ,no,,,,
SVK WD1,no,,,,
SW D1,no,,,,
SWE Cup,no,,,,
SWE D1 ,swe_allsvenskan,,,,
SWE D1 SNN,no,,,,
SWE D1 SNS,no,,,,
SWE D2 ,swe_superettan,,,,
SWE D2Off,no,,,,
SWE D2PPO ,swe_playoff,,,,
SWE D3NG,no,,,,
SWE D3NL,no,,,,
SWE D3NS,no,,,,
SWE D3SG,no,,,,
SWE D3SS,no,,,,
SWE D3VG,no,,,,
SWE U21AS,no,,,,
SWE U21ASE,no,,,,
SWE U21ASN,no,,,,
SWE U21ASS,no,,,,
SWE U21ASW,no,,,,
SWE WD1,no,,,,
SWE WD1off,no,,,,
SWEC-W,no,,,,
SWEU21PO,no,,,,
SYC Cup  ,no,,,,
SYC PR,no,,,,
SYR Cup  ,no,,,,
SYR YTH ,no,,,,
Santa Fe Cup,no,,,,
Santa Fe Cup W,no,,,,
Sco WC,no,,,,
Slo D3,no,,,,
Slo D4 ,no,,,,
Solo ISL,no,,,,
Spain D4,no,,,,
Sweden Div 3 P,no,,,,
Swi D1W,no,,,,
Syri D1,no,,,,
Syri D2,no,,,,
T C ,no,,,,
TAJ CUP ,no,,,,
TAJ L1 ,no,,,,
TAJ L1CG,no,,,,
TAJ SC    ,no,,,,
TAN FACS,no,,,,
TDC  ,no,,,,
TFF 1. Lig,no,,,,
TFF 1. LigUF ,no,,,,
TH FC,no,,,,
THA D3 Cup,no,,,,
THA L2,no,,,,
THA L3,no,,,,
THA L3BBK,no,,,,
THA L3E,no,,,,
THA L3N,no,,,,
THA L3NCP ,no,,,,
THA L3NE,no,,,,
THA L3S  ,no,,,,
THA L3SCP,no,,,,
THA L3TP ,no,,,,
THA L3W ,no,,,,
THA LC,no,,,,
THA PR,no,,,,
THA U23,no,,,,
THA UL  ,no,,,,
THA W  ,no,,,,
TIP CUP ,no,,,,
TKM D1     ,no,,,,
TL 3,no,,,,
TM U16,no,,,,
TNSC,no,,,,
TOG CUP ,no,,,,
TOG D1 ,no,,,,
TOGW,no,,,,
TOUT ,no,,,,
TRI D1  ,no,,,,
TRI PL ,no,,,,
TSA PC,no,,,,
TSA TCL  ,no,,,,
TSA TPL,no,,,,
TSA U21,no,,,,
TTLdA,no,,,,
TTLdB,no,,,,
TTLdoff,no,,,,
TUN D1,no,,,,
TUN D1A,no,,,,
TUN D1B,no,,,,
TUN D1CG,no,,,,
TUN D1R    ,no,,,,
TUR 3BA,no,,,,
TUR 3BB,no,,,,
TUR 3BC,no,,,,
TUR 3BD,no,,,,
TUR 3BPPO,no,,,,
TUR 3Boff,no,,,,
TUR Cup,no,,,,
TUR D1,tur_sueperlig,,,,
TUR D3BG,no,,,,
TUR D3LB,no,,,,
TUR D3UF ,no,,,,
TUR D3UQF ,no,,,,
TUR D3USF ,no,,,,
TUR U19,no,,,,
TUR WD1,no,,,,
TUR WD2 ,no,,,,
Taiwan 2,no,,,,
Tanzania Cup ,no,,,,
Tanzania D1,no,,,,
Tanzania PL,no,,,,
Thai D4 ,no,,,,
Turkey A League ,no,,,,
U20 EL,no,,,,
U Cup,no,,,,
UAE,no,,,,
UAE C,no,,,,
UAE D1,no,,,,
UAE D2,no,,,,
UAE LP,no,,,,
UAE RL,no,,,,
UAE SC,no,,,,
UAE U19,no,,,,
UAE U21,no,,,,
UAE U21 Cup,no,,,,
UAE U21-C ,no,,,,
UAE U23,no,,,,
UEFA CL,uefa_cl,,,,
UEFA ECL,uefa_ecl,,,,
UEFA EL,uefa_el,,,,
UEFA NL,uefa_nations-league,,,,
UEFA RC,no,,,,
UEFA U17,no,,,,
UEFA U19,no,,,,
UEFA U21Q,no,,,,
UEFA WNL,no,,,,
UEFA WUC,no,,,,
UEFA YL U19,no,,,,
UEFA-W U19,no,,,,
UEFACW ,no,,,,
UGA CW  ,no,,,,
UKR D1 ,ukr_premyer-liga,,,,
UKR D2A,no,,,,
UKR D2B,no,,,,
UKR D2CG ,no,,,,
UKR D2PPO,no,,,,
UKR D2R,no,,,,
UKR D2RF  ,no,,,,
UKR D2RP,no,,,,
UKR D3,no,,,,
UKR U21,no,,,,
UKRC,no,,,,
UPL,no,,,,
URU AC ,no,,,,
URU D1   ,no,,,,
URU D1(a),no,,,,
URU D1a,no,,,,
URU D2,no,,,,
URU RL,no,,,,
URU U19,no,,,,
URU WL ,no,,,,
USA CL,no,,,,
USA CUP ,no,,,,
USA IL,no,,,,
USA L1,no,,,,
USA NISAIC ,no,,,,
USA NPSL,no,,,,
USA ULOC,no,,,,
USA USL W,no,,,,
USA W TP,no,,,,
USA WD1,no,,,,
USA WPSL,no,,,,
USA-ULT,no,,,,
USL CH,no,,,,
USL CHCG ,no,,,,
USL WLW ,no,,,,
UWPL,no,,,,
UZB D1,no,,,,
UZB D1A,no,,,,
UZB D1B,no,,,,
UZB D1off,no,,,,
UZB LW ,no,,,,
Uganda C,no,,,,
Uganda D 2,no,,,,
Uruguay SC ,no,,,,
UzbC,no,,,,
Uzbekistan Su,no,,,,
VEN CUP ,no,,,,
VEN D1(a),no,,,,
VEN D1AF,no,,,,
VEN D1Ape-A,no,,,,
VEN D1Ape-B ,no,,,,
VEN D1a ,no,,,,
VEN D1off,no,,,,
VEN D2,no,,,,
VIAT        ,no,,,,
VIE Cup,no,,,,
VIE D1,no,,,,
VIE D2,no,,,,
VIE D2off,no,,,,
VIE D3 ,no,,,,
VIE U19  ,no,,,,
VIE U21,no,,,,
VIEL W   ,no,,,,
VSC,no,,,,
W4NT ,no,,,,
W4NT ,no,,,,
WA PW U21 ,no,,,,
WAFF U23,no,,,,
WAFF-U19 ,no,,,,
WAL CLC,no,,,,
WAL FAWCN,no,,,,
WAL FAWCS,no,,,,
WAL PRï¼<U+0088>Wï¼<U+0089> ,no,,,,
WALC ,wal_welsh-cup,,,,
WAUS D1,no,,,,
WAUS D2 ,no,,,,
WAUS U20 ,no,,,,
WAUS U23,no,,,,
WAUS WD1 ,no,,,,
WAUS WD2 ,no,,,,
WAWC ,no,,,,
WBCUP ,no,,,,
WCOS CW,no,,,,
WCPAF  ,wcq_africa,,,,
WCPCA     ,wcq_concacaf_qualif,,,,
WCPEU,wcq_europe,,,,
WCPO,wcq_oceania,,,,
WCPSA   ,wcq_sa,,,,
WCU17   ,no,,,,
WIE VWC,no,,,,
WIE W U19,no,,,,
WIE WC   ,no,,,,
WJLC,no,,,,
WOFT,no,,,,
WROM C  ,no,,,,
Welsh PR ,wal_premier-league,,,,
Welsh PRCG,wal_premier-league_championship,,,,
Welsh PRRF,wal_premier-league_relegation,,,,
YEM D1A,no,,,,
YEM D1B,no,,,,
ZAM Cup,no,,,,
ZAN CUP ,no,,,,
ZAN PL,no,,,,
ZIM CUP,no,,,,
ZIM LEG,no,,,,
Zam SL,no,,,,
ex MFWPSF ,no,,,,
ISR D2off,no,,,,
